127.0.0.1 - - [03/Jan/2025:18:57:24 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Jan/2025:18:57:25 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [03/Jan/2025:18:57:25 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:19:22 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:27:31 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:27:33 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:27:33 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:27:35 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:27:50 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:28:24 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:33:58 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:34:01 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:34:01 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:34:02 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:34:03 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:34:04 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:34:05 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:34:06 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:34:06 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:34:07 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:34:07 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [03/Jan/2025:19:34:08 -0300] "GET /Hello_JSP/hello.jsp HTTP/1.1" 200 283
